index,label,empty.cells,zeros,negative.values,characters,values.less.than.500,total,excluded
1,xylose,0,0,0,0,0,0,No
2,xylitol,0,0,0,0,0,0,No
3,xanthine,0,0,0,0,0,0,No
4,valine,0,0,0,0,0,0,No
5,uridine,0,0,0,0,0,0,No
6,uric acid,0,0,0,0,1,1,No
7,urea,0,0,0,0,0,0,No
8,uracil,0,0,0,0,0,0,No
9,UDP GlcNAc,0,0,0,0,3,3,No
10,tyrosine,0,0,0,0,0,0,No
11,tryptophan,0,0,0,0,0,0,No
12,tocopherol alpha-,0,0,0,0,0,0,No
13,thymine,0,0,0,0,1,1,No
14,threonine,0,0,0,0,0,0,No
15,threonic acid,0,0,0,0,0,0,No
16,terephthalic acid,0,0,0,0,0,0,No
17,taurine,0,0,0,0,0,0,No
18,tagatose,0,0,0,0,1,1,No
19,sucrose,0,0,0,0,7,7,No
20,succinic acid,0,0,0,0,0,0,No
21,succinate semialdehyde,0,0,0,0,0,0,No
22,squalene,0,0,0,0,0,0,No
23,sorbitol,0,0,0,0,0,0,No
24,shikimic acid,0,0,0,0,0,0,No
25,serine,0,0,0,0,0,0,No
26,ribose,0,0,0,0,1,1,No
27,ribonic acid,0,0,0,0,8,8,Yes
28,ribitol,0,0,0,0,0,0,No
29,pyruvic acid,0,0,0,0,0,0,No
30,pyrophosphate,0,0,0,0,0,0,No
31,pseudo uridine,0,0,0,0,0,0,No
32,proline,0,0,0,0,0,0,No
33,p-hydroxylphenyllactic acid,0,0,0,0,13,13,Yes
34,phosphoethanolamine,0,0,0,0,0,0,No
35,phosphate,0,0,0,0,0,0,No
36,phenylalanine,0,0,0,0,0,0,No
37,pentadecanoic acid,0,0,0,0,0,0,No
38,pantothenic acid,0,0,0,0,0,0,No
39,palmitoleic acid,0,0,0,0,0,0,No
40,oxoproline,0,0,0,0,0,0,No
41,oxalic acid,0,0,0,0,1,1,No
42,ornithine,0,0,0,0,0,0,No
43,oleic acid,0,0,0,0,0,0,No
44,noradrenaline,0,0,0,0,0,0,No
