index,label,fold_changes
1,xylulose NIST,1.53687974966473
2,xylose,1.7687006349698
3,xylitol,0.904761904761905
4,valine,0.878972218142178
5,uridine,0.659650163059591
6,uric acid,1.03733457147277
7,urea,1.05973810231142
8,uracil,0.570658452060069
9,tyrosine,0.927547073085886
10,tryptophan,1.78612724281227
11,trans-4-hydroxyproline,1.43606187979373
12,thymine,0.65688594415523
13,thymidine,0.901881720430108
14,threonine,0.858018242878477
15,threonic acid,0.722950819672131
16,taurine,0.446881786102063
17,sulfuric acid,0.37313482436609
18,succinic acid,0.748250376087383
19,stearic acid,1.11970456697324
20,serine,0.832427569833438
21,saccharic acid,0.577916666666667
22,ribose,0.483955178922848
23,ribonic acid,0.887535816618911
24,ribitol,0.828843995510662
25,raffinose,0.556381898738764
26,pyruvic acid,0.538319976254081
27,pseudo uridine,1.08993132046132
28,proline,1.11493474059114
29,pinitol,0.756653992395437
30,pimelic acid,1.08343989769821
31,phosphate,1.00137862578582
32,phenylethylamine,0.944052863436123
33,phenylalanine,0.830738858557044
34,phenol,0.892301663853388
35,pelargonic acid,0.915747102505379
36,palmitoleic acid,0.727094109101589
37,palmitic acid,1.03999011776332
38,oxoproline,1.08137777669219
39,ornithine,0.859831796173041
40,oleic acid,1.2503479202103
41,octadecanol,1.04879250862494
42,myristic acid,0.989083295947361
43,myo-inositol,0.817847647913247
44,methionine sulfoxide,1.05971769815418
45,methionine,0.900824628916987
46,mannose,0.892638997129136
47,maltose,0.610454545454545
48,malic acid,0.597021843675763
49,lyxose,1.38742004264392
50,lyxitol,0.743225083986562
51,lysine,0.962776576882909
52,linoleic acid,1.2845615922539
53,leucine,0.815027584151188
54,lauric acid,0.791164346270514
55,lactic acid,0.735737555953678
56,lactamide,0.689202056751095
57,isothreonic acid,0.676646706586826
58,isoleucine,0.77273862281755
59,isohexonic acid,0.650359066427289
60,isocitric acid,1.04545454545455
61,indoxyl sulfate,1.30986294006987
62,indole-3-propionic acid,1.35835146241238
63,indole-3-lactate,1.78303137428193
64,indole-3-acetate,2.982833655706
65,hydroxylamine,0.729128382430933
66,hydroxycarbamate NIST,1.3090187963442
67,hydrocinnamic acid,0.564483196291595
68,hippuric acid,0.324664308404236
69,hexuronic acid,0.783156453269428
70,hexitol,1.02127659574468
71,hexadecane,1.2104771250993
